Comment,giaodien,manhinh,amthanh,tinhnang,dichvu,giaca,tongthe
Tốt,2,2,2,2,2,2,1
Tôi không thể kết nối AirPlay trên tivi này được mặc dù đã thử trên nhiều điện thoại iPhone,2,2,2,0,2,2,2
tôi cần hổ trợ,2,2,2,2,2,2,2
Tại sao hôm kia lúc tôi đến mua tivi này bạn nhân viên không tư vấn cho tôi mua online giá rẻ hơn 2tr3 . trong khi mua online với mua trực tiếp tại cửa hàng CHƯƠNG TRÌNH KHUYỄN MÃI đều giống nhau. Hôm nay tôi vào xem giá online mới thấy . tôi người mua rất nhiều hàng ở đmx. Tại sao lại có thể mất oan 2tr3 này được. Xin bên đmx hãy trả lời rõ cho tôi. Quý vị có thể check đơn hàng tôi đã mua ở cty. Cửa hàng tôi mua tại thị trấn Lai Uyê,2,2,2,2,0,0,2
Bàu Bàng,2,2,2,2,2,2,2
Bình Dương,2,2,2,2,2,2,2
Tivi đẹp giá cao hơn lg nhưng chả có chương trình gì,1,2,2,2,2,0,2
rất thích,0,0,0,0,0,0,0
Tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Xài ok . Chỉ thiếu ko có điều khiến giọng nói thôi,2,2,2,0,2,2,1
Tốt,2,2,2,2,2,2,1
Làm ăn ko có trách nhiệm,2,2,2,2,0,2,2
khuyến mại gói cước thì ko coi dc gì,2,2,2,2,0,2,2
gọi hỗ trợ thì hẹn tới hẹn lui,2,2,2,2,0,2,2
"vẫn ko có ai phản hồi,mua hàng nhiều lần mà lần này thất vọng",2,2,2,2,0,2,0
Ok,2,2,2,2,2,2,1
Ti vi rõ nét đẹp,2,1,2,2,2,2,1
Ổ,2,2,2,2,2,2,0
Tv tot mau sac dep,2,1,2,2,2,2,1
Hình ảnh đẹp điều khiển nhạy de sử dụng giá tốt 4k thì quá OK,0,0,0,0,0,0,0
Ok. Nhung sai vai ngay co hiện tuong trễ khi vao app,2,2,2,0,2,2,1
tv đẹp,1,2,2,2,2,2,2
coi rõ nét màu chuẩ,2,1,2,2,2,2,2
dịu mắt. Nv tư vấn nhiệt tình,2,1,2,2,1,2,2
ên mua ở đmx nha mn.,0,0,0,0,0,0,0
Tivi màu đẹp sắc nét,2,1,2,2,2,2,2
âm thanh cũng OK,2,2,1,2,2,2,2
chỉ tiếc là ko có chức năng tìm kiếm được bằng giọng nói trên remote hoặc YouTube.,2,2,2,0,2,2,2
mới dùng nên chưa đánh giá dc độ bề,2,2,2,2,2,2,2
chức năng ok,0,0,0,0,0,0,0
Tot,2,2,2,2,2,2,1
Rất tốt,2,2,2,2,2,2,1
Sản phẩm chất lượng cao,2,2,2,2,2,2,1
Nhân viên chăm sóc khách hàng rất thiếu trách nhiệm. Ko hướng dẫn về việc thanh toán. Khấu trừ khuyến mãi cho khách hàng. Không gọi lại để chốt đơn và kiểm trả thông tin đơn đặt hàng,2,2,2,2,0,2,1
Remote ko có giọng nói là lý do gì.,2,2,2,0,2,2,2
Dmx nay giá này,2,2,2,2,2,2,2
mai giá kia,2,2,2,2,2,2,2
vừa mua hôm trước,0,0,0,0,0,0,0
hôm sau giảm cả triệu.,2,2,2,2,2,2,2
Rất tốt,2,2,2,2,2,2,1
Ti vi k có giọng nói gì hết,2,2,2,0,2,2,1
Màu sắc đẹp,0,1,0,2,2,2,2
chỉ có hơi phiền là nó nói nhiều quá,2,2,0,2,2,2,2
Đang sử dụng tốt,2,2,2,2,2,2,1
Đang sử dụng vẫn ổ,2,2,2,2,2,2,1
Tivi chất lượng,2,2,2,2,2,2,1
Dang sử dụng cảm thấy tốt chất lượng,2,2,2,2,2,2,1
Sẽ giới thiệu cho bạn bè,2,2,2,2,2,2,1
Sản phẩm đang sử dụng tốt,2,2,2,2,2,2,1
Sản phẩm chất lượng,2,2,2,2,2,2,1
Sản phẩm tốt Dịch vụ chất lượng,2,2,2,2,2,2,1
Tivi sử dụng tốt,2,2,2,2,2,2,1
Tivi sử dụng tốt,2,2,2,2,2,2,1
Đang sử dụng tốt,2,2,2,2,2,2,1
Sản phẩm đang sử dụng tốt,2,2,2,2,2,2,1
Sản phẩm chất lượng đang sử dụng rất tốt,2,2,2,2,2,2,1
Tivi tốt đang sử dụng OK,2,2,2,2,2,2,1
Sản phẩm tốt chất lượng cho điểm tối đa,2,2,2,2,2,2,1
Sẽ giới thiệu cho bạn bè,2,2,2,2,2,2,1
Giao diện đẹp dễ sử dụng cho người lớn tuổi,2,2,2,1,2,2,2
Đang sử dụng tivi hoạt động tốt,2,2,2,2,2,2,1
Sẽ giới thiệu cho bạn bè,2,2,2,2,2,2,1
Hình ảnh chân thật sắc nét. Rất tốt,2,1,2,2,2,2,1
kết nối Wifi rất tệ,0,0,0,0,0,0,0
mỗi lần mở TV phải sửa lỗi gỡ rối kết nối Wifi kết nối lại Wifi,2,2,2,0,2,2,2
Tốt ạ,0,0,0,0,0,0,0
ok tốt đáng mua,2,2,2,2,2,2,1
Nhân viên giao hàng,2,2,2,2,1,2,2
lắp đặt rất nhiệt tình,2,2,2,2,1,2,1
thân thiện.,2,2,2,2,1,2,2
Mjh đã sd tivi hiệu này rồi,2,2,2,2,2,2,2
và bây giờ mua thêm vẫn thích sd hiệu này,2,2,2,2,2,2,1
ói chung rất ok,2,2,2,2,2,2,1
Rất hài lòng 😀,0,0,0,0,0,0,0
Rất vui khi mua sản phẩm này.hợp với túi tiền người lao động,2,2,2,2,2,1,2
Nhờ nhân viên hỗ trợ hẹn 5 ngày liên hệ đến nay là ngày thứ 6 vẫn chưa thấy gì. Điện thì thái độ nhân viên cợt nhã đang cười giỡn với người khác không nghe rõ yêu cầu của khách hàng. Nói 120p sau có người liên hệ hỗ trợ cũng không có. Lần đầu tiên có trải nghiệm xấu như vậy về ĐMX,2,2,2,2,2,0,0
Tot,2,2,2,2,2,2,1
Tivi mình mua bị lỗi tiếng một hôm giờ trở lại bình thường Nhưng tôi biết nó đã có vấn đề,2,2,2,0,2,2,2
Được,0,0,0,0,0,0,0
OK,2,2,2,2,2,2,1
Tốt,2,2,2,2,2,2,1
Ti vi sài tốt nhé,2,2,2,2,2,2,1
Kết nối với chảo bấm tới kênh 17 đứng hình hk bấm lên xuống được,2,2,2,0,2,2,2
Mua thì suy nghĩ lại nha mọi người em mua xem chưa được 1 tiếng nó tắt nguồn ko lên nguồn luôn nchung mang tiếng được chữ Samsung thôi chứ còn lại thì lắm,2,2,2,0,2,2,0
"Mình mới mua tivi nhưng màu không sáng,không rõ nét.Mong phản hồi",2,0,2,2,2,2,2
Tivi màn hình rõ nét,2,1,2,2,2,2,2
rất tốt,2,2,2,2,2,2,1
Mới mua 24.9.2023 âm thanh tốt. Màn hình sáng rõ.,2,1,1,2,2,2,2
Ok,2,2,2,2,2,2,1
Ok mau dep,1,2,2,2,2,2,1
Nhân viên rất nhiệt tình,0,0,0,0,0,0,1
Hàng tốt ạ. Nhân viên phục vụ tận tình. Cảm ơ,2,2,2,2,1,2,1
Ok,2,2,2,2,2,2,1
Tivi ok,2,2,2,2,2,2,1
Tivi mượt,2,2,2,1,2,2,2
màn hình ổ,2,1,2,2,2,2,2
Sản phẩm tốt. Dịch vụ chu đáo. Chúc Điện máy xanh làm ăn phát tài.,2,2,2,2,0,2,1
Nó cứ hiện lên mãi Rất khó chịu,2,2,2,0,2,2,1
Màu đẹp nhìn rất nét,2,1,2,2,2,2,1
Ti vi tốt nhe mọi người.,2,2,2,2,2,2,1
Hình ảnh sắc nét.tặng cáp truyền hình 6 tháng. Nên mua.giá hợp lý,2,1,2,2,1,1,2
Mới mua chưa lâu,2,0,2,0,2,2,2
hiện xài tốt,2,2,2,2,2,2,1
So với tv SS cũ thì cái mới này mượt hơ,2,2,2,0,2,2,2
bắt wifi mạnh.,2,2,2,1,2,2,2
âm thanh tốt,0,0,1,0,2,0,0
màn hỗ trợ 4K nịnh mắt,2,1,2,2,2,2,2
có điều hơi tối,2,1,2,2,2,2,2
Sao mua lúc chiều tại cửa hàng 8tr990 mà trên wep có 8tr196 Nhân viên không cập Nhật để khách hàng mua giá cao hơn so với khuyến mãi vậy,2,2,2,2,0,0,2
Ok điện máy XANH,2,2,2,2,2,2,1
Tivi mẩu mã đẹp,1,2,2,2,2,2,2
độ nét tương đối không bằng sony,2,0,2,2,2,2,2
"âm thanh nhỏ. Giao hàng nhanh,nv nhiệt tình.",2,2,0,2,1,2,2
Bán hàng giao hàng nhiệt tình nói chung là ok nhiệt tình vui vẽ,2,2,2,2,1,2,2
Dễ dùng,2,2,2,1,2,2,2
chất lượng hiệu quả,2,2,2,2,2,2,1
TV sủ dụng tốt qua 1 tg sử dụng,2,2,2,2,2,2,1
Dùng rất tốt . Nhân viên nhiệt tình. Hướng dẫn chu đáo,2,2,2,2,1,2,1
Ok,2,2,2,2,2,2,1
Tivi tôi mua đến nay sủ dụng tốt,2,2,2,2,2,2,1
"Rất tốt ,rõ nét",2,1,2,2,2,2,1
Độ màu,2,1,2,2,2,2,2
hình ảnh rõ nét,0,0,0,0,0,0,0
hưng âm thanh nhỏ.,2,2,0,2,2,2,2
rat tot nhe,2,2,2,2,2,2,1
OK,2,2,2,2,2,2,1
Mình mới mua hôm nay nhug nhà mih có cái loa vi tính nhưng bh nó hỏg bluetooth r bh kết nối qua bằg cách cắp dây dc k nhỉ nếu dc thì vào dou ra sao,2,2,2,0,2,2,2
Tivi rất nét và hình ảnh rất đẹp...,2,1,2,2,2,2,2
Thật sự phải nói điện máy xanh bây giờ cực kỳ tệ,2,2,2,2,2,2,0
cực kỳ thất vọng khi gần 10 năm qua vẫn mua sản phẩm ủng hộ. Nhưng bây giờ Cskh bảo hành CỰC TỆ HẠI,2,2,2,2,0,2,0
gày 26/4 có đánh giá có cskh gọi hỏi xong tới giờ chẳng thấy 1 ai xuống bảo hành hay ngó ngàng gì đến sản phẩm bán ra như thế nào,2,2,2,2,0,2,2
không bao giờ giớii thiệu hay ủng hộ nữa,2,2,2,2,2,2,1
Loa bị rè,2,2,1,2,2,2,2
cần tới kiểm tra,2,2,2,2,2,2,2
TV Samsung smart TV ua65au7002 sử dụng tốt,2,2,2,2,2,2,1
"hình ảnh màu sắc tươi sáng đẹp,",2,1,2,2,2,2,2
Tv coi cũng đẹp. Chức năng cũng ổn so với mức giá. Thời gian lâu dài không biết ổn không.,2,0,0,0,0,0,0
Đã sd rât ok ak,2,2,2,2,2,2,1
cũng được,0,0,0,0,0,0,0
Hiển thì rất đẹp rất sắc nét,0,0,0,0,0,0,0
Tạm ổ,0,2,2,2,2,2,1
Sau gần 1 năm từ khi mua thì tivi vẫn sử dụng tốt . Màu sắc tươi,2,1,2,2,2,2,2
rõ nét . Âm thanh rất ổn . Sẽ giới thiệu cho bạn bè,0,0,0,0,0,0,0
gười thâ,2,2,2,2,2,2,2
Sản phẩm và sự phục vụ rất tuyệt vời,2,2,2,2,2,2,1
Oki,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Phục vụ tốt nhanh nhiệt tình,2,2,2,2,1,2,2
TV tot tromg tam giá,2,2,2,2,2,1,2
Ok rất tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Giá hợp lý hợp túi tiề,2,2,2,2,2,1,2
Good,2,2,2,2,2,2,1
Dùng 1 tháng hỏng màn hình. Không có lần thứ 2 sử dụng sp của DMX. CSKH quá tệ,2,0,2,2,0,2,0
Ok,2,2,2,2,2,2,1
Rất tuyệt,2,2,2,2,2,2,1
rõ sắc nét,2,1,2,2,2,2,2
Nhân viên bán hàng giới thiệu sản phẩm còn nhiều thiếu sót …chưa giới thiệu cặn kẽ cho khách hàng.,2,2,2,2,0,2,2
sản phẩm tốt,0,0,0,0,0,0,0
Rất tốt,2,2,2,2,2,2,1
Sản phẩm sài tốt nhân viên hổ trợ nhiệt tình,2,2,2,2,1,2,1
Hình ảnh sắc nét. Vào mạng nhanh,2,2,2,1,2,2,1
Cơ bản Tivi xem tốt còn sử dụng cần thời gian mới,2,2,2,2,2,2,1
Rất tốt nhé,2,2,2,2,2,2,1
Giá cao so với chất lượng,2,1,2,2,2,0,2
xxxx959212 hanh,2,2,2,2,2,2,2
ok,2,2,2,2,2,2,1
Tí vi rất tốt rất hài lòng,2,2,2,2,2,2,1
Hàng OK em nhé,2,2,2,2,2,2,1
Chất lượng đi kèm bảo hành,2,2,2,2,1,2,1
Cảm thấy bị lừa vì bảo hành còn 23 tháng trong khi mua tivi mới,2,2,2,2,0,2,0
Ok,2,2,2,2,2,2,1
Tôi mới mua chưa đầy 1tháng nên chưa đánh giá được sản phẩm ạ,2,2,2,2,2,2,2
Hình ảnh sắc nét,2,1,2,2,2,2,2
độ bền cao nữa thì sp sẽ rất tốt,0,0,0,0,0,0,0
ty vi sem thật rõ ràng và đẹp đẽ về màu sắc chân thành cảm ơ,1,1,2,2,2,2,1
Tot,2,2,2,2,2,2,1
Tốt o,2,2,2,2,2,2,1
Rõ nét đẹp,2,1,2,2,2,2,2
Tốt,2,2,2,2,2,2,1
Hỏng điều khiển roi,2,2,2,1,2,2,2
Tốt,2,2,2,2,2,2,1
Màu chuân,2,1,2,2,2,2,2
dễ sử dung,0,0,0,0,0,0,0
Rất tôr và rõ đẹp,2,1,2,2,2,2,1
Máy sử dụng tốt. Ok,2,2,2,2,2,2,1
Sản phẩm và dịch vụ tốt nhưng gói quà tặng đi kèm không thực sự hấp dẫn. Các kênh truyền hình vip vẫn phải đăng ký ngoài.,2,2,2,0,2,2,1
Ok shop,2,2,2,2,2,2,1
Nhân viên giao hàng nhanh,2,2,2,2,2,2,1
ti vi màu sáng,2,1,2,2,2,2,2
sắc nét thật.,2,1,2,2,2,2,2
Rất tốt,2,2,2,2,2,2,1
Tư vấn nhiệt tình,2,2,2,2,1,2,2
hỗ trợ tốt,2,2,2,2,1,2,2
"Màn hình rất đẹp,rõ nét",1,1,2,2,2,2,2
Quá tốt,2,2,2,2,2,2,1
Sản phẩm tốt. Nhân viên lắp đặt thân thiện nhiệt tình.,2,2,2,2,1,2,1
Chất lượng tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Rất tốt,2,2,2,2,2,2,1
Hãng tivi Samsung và ĐMX rất tệ.Chính xách bảo hành không tốt,2,2,2,2,0,2,0
mua sản phẩm được 8 ngày báo lỗi thì phát hãng báo do ĐMX,2,2,2,2,0,2,0
ĐMX thì báo do khách hàng nên không đồng ý đổi mà lại thay linh kiện.À ươm hơn 1 tháng không xử lý được cho khách. Lắp đặt thì lệch nghiêng,2,2,2,2,0,2,0
hân viên thái độ.Rất tệ.,2,2,2,2,0,2,2
Tivi mẫu mã đẹp,1,2,2,2,2,2,1
chất lượng tốt,2,2,2,2,2,2,1
Mới dùng được hai tháng thấy cũng OK,0,0,0,0,0,0,0
Rất tốt,2,2,2,2,2,2,1
Rat hai lòng,2,2,2,2,2,2,1
Chất lượng ổ,2,2,2,2,2,2,1
Mới dùng nên chưa có thể nhận xét nhiều đc.,2,2,2,2,2,2,2
Tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
tốt,0,0,0,0,0,0,0
Ok,2,2,2,2,2,2,1
Very good,2,2,2,2,2,2,1
Cảm nhận tốt,2,2,2,2,2,2,1
Rat hài lòng.,2,2,2,2,2,2,1
Xem nét sử dụng dễ,2,1,2,1,2,2,2
Quá ngo,2,2,2,2,2,2,2
Dùng được,0,0,0,0,0,0,0
Sản phẩm tốt,2,2,2,2,2,2,1
Mới dùng thấy rất OK tivi nét bắt mạng nhanh còn độ bền thì phải chờ thời gia,2,2,2,1,2,2,2
Tivi nét rất hài lòng,2,1,2,2,2,2,2
Tốt,2,2,2,2,2,2,1
Ok tốt,2,2,2,2,2,2,1
OK,2,2,2,2,2,2,1
Rât tôt,2,2,2,2,2,2,1
Tivi hình ảnh đẹp,2,1,2,2,2,2,0
sắc nét dùng mượt mà,2,1,2,2,2,2,2
Dùng ổn định và nét mượt,2,1,2,1,2,2,2
❤️❤️❤️❤️❤️,2,2,2,2,2,2,0
Oke,2,2,2,2,2,2,1
Rất tốt,2,2,2,2,2,2,1
tốt,0,0,0,0,0,0,0
Độ sắc nét bình thường Màu sắc hơi đậm Âm thanh bình thường Giá rẻ nên ko đòi hỏi nhiều,0,2,2,2,2,1,2
Ok,2,2,2,2,2,2,1
Được,0,0,0,0,0,0,0
Dùng ok,0,0,0,0,0,0,0
Hàng tệ nhe,2,2,2,2,2,2,1
chân cao chân thấp,2,2,2,2,2,2,2
bảo hành thì lằng nhằng ko muốn làm,2,2,2,2,0,2,2
ên tránh cái,2,2,2,2,2,2,2
Ok,2,2,2,2,2,2,1
Màu sắc đẹp. Bắt sóng wifi cực tốt. Hài lòng,2,1,2,1,2,2,1
Tu ngay lập dat mấy tôi nay bị lỗi mạng hình 3 lần rồi,2,2,2,0,2,2,1
hình ảnh chân thật,2,1,2,2,2,2,2
phần mầu chưa tốt lắm,2,0,2,2,2,2,2
hài lòng,0,0,0,0,0,0,0
Tv này hình ảnh tương đ ối nét.hình ảnh đẹp nhưng người lớn tuổi sử dụng hơi khó,2,1,2,0,2,2,1
Chất lượng tốt,2,2,2,2,2,2,1
hân viên giao lăp hỗ trợ nhiệt tình,2,2,2,2,1,2,2
Tivi xài tốt,2,2,2,2,2,2,1
Tivi xem rất thích,0,0,0,0,0,0,0
"hình ảnh âm thanh đều ổn,",2,1,1,2,2,2,2
Chất lượng xịn lắm nha,2,2,2,2,2,2,1
ét căng. mới lắp hôm nay,2,2,2,2,2,2,2
sẽ đánh giá chất lượng sau,2,2,2,2,2,2,2
Rất hài lòng,0,0,0,0,0,0,0
Tivi của mình nhận giọng nói kg đc và có nhiều kênh coi kg rõ,2,2,2,0,2,2,2
Ti vi đẹp,2,0,0,2,0,2,1
Rất hài lòng,0,0,0,0,0,0,0
Am thanh . Hình ảnh ko đẹp,2,0,0,2,2,2,2
OK,2,2,2,2,2,2,1
rất hài lòng,0,0,0,0,0,0,0
Tvi kiễu dang lạ dán sát tường tiện ích thễ hiện tranh sõng động do có độ sáng vừa trong không bị chói mắt,2,2,2,1,1,2,2
Tv đẹp chuẩ,1,2,2,2,2,2,2
Rất hài lòng,0,0,0,0,0,0,0
Treo ở nhà như bức tranh. Đẹp!,1,2,2,2,2,2,2
Hình ảnh chân thật,2,1,2,2,2,2,2
cực thông minh,2,2,2,2,2,2,1
âm thanh cực hay,2,2,1,2,2,2,1
Rất ưng ý nhe,2,2,2,2,2,2,1
bthuong ko sử dụng nhìn như bức tranh trang trí,1,2,2,2,2,2,2
còn khi sử dụng nghe nhạc rất hay luô,2,2,1,2,2,2,1
Dùng cũng tốt,2,2,2,2,2,2,1
Ti vi cũng bình thường. Trải nghiệm được chức năng khung tranh. Nhưng remote sạc bằng năng lượng mặt trời chất lượng quá tệ,2,2,2,0,2,2,2
.,0,0,0,0,0,0,0
