Name,Cost,Score rating,Number rating,Comment user
TCL Google TV 55P635,7.990.000₫,4.3,153,"['Tivi mua được tuần nay, bị lỗi mà 2 ông ĐMX và nv TCL cứ đổ qua lại do quá tải. Bjo để trưng bày/n', 'Tốt trong tầm giá/n', 'Tivi tốt/n', 'Quá ok/n', 'Dùng ổn, chất lượng cũng tạm được có điều khiện sẽ ủng hộ nữa/n', 'Tốt so với tầm giá/n', 'Ổn trong tầm giá./n', 'Ok/n', 'Đẹp nhưng không được nhạy như các hãng khác/n', 'Sản phẩm dùng tốt/n', 'Hiện tại dùng rất ổn . Nhân viên nhiệt tình. Sẽ phản hồi thêm sau thời gian sử dụng/n', 'Sản phẩm tốt/n', 'Tốt. Hài lòng/n', 'Tốt/n', 'Dùng OK với giá tiền./n', 'Tốt nhất trong tầm giá đã dùng./n', 'Không hài lòng/n', 'Tốt hơn với tưởng tượng.giá tốt chật lượng tốt/n', 'Ok/n', 'Cũng ổn/n']"
LG Smart TV 55UQ8000PSC,12.490.000₫,4.4,270,"['Tv lỗi mà dmx ko có trách nhiệm lần sau không bao giờ mua ở đó nữa báo bảo hành từ mùng 5 ma bây giờ chua giả quết song tiền thật mua của giả/n', 'Giá thành rẻ nhân viên điện mấy nhiệt tình/n', 'Sản phẩm tốt, hình ảnh đẹp/n', 'Hình sắc nét, màu đẹp,remove trông rất xịn xò, k biết độ bền bao lâu chứ trước mắt rất ok mn ạ. Nhân viên DMX thì hổ trợ rất nhiệt tình. Mình luôn tin tưởng và mua đồ ở DMX./n', 'Sản phẩm rất tốt/n', 'Sản phẩm hiện sử dụng tốt sau 3 ngày trải nghiệm Nhân viên ĐMX nhiệt tình/n', 'Tôi mua tặng , nên có hỏi người nhận, màn hình rất nét, chất lượng tốt, xin cảm ơn./n', 'Sản phẩm dùng tốt/n', 'Đẹp/n', 'Xài tốt/n', 'Cảm nhận tốt/n', 'Tốt chất lượng đẹp/n', 'Đắt nhưng xắt ra miếng, trước giờ vẫn ủng hộ Điện Máy Xanh/n', 'Sp tốt/n', 'Tầm giá đó dùng tốt/n', 'Tivi dùng tốt/n', 'Tôi mua đơn hàng từ ngày 04.01, mà đến nay chưa được chuyển đổi trả góp, trong khi bên ngân hàng đã có sao kê trong kì thanh toán tháng 1. Tôi gọi cho NH thì họ bảo là bên ĐMX phải thực hiện tủ tục này. Tôi liên hệ ĐMX thì nhân viên bảo kiểm tra và phản hồi tôi 9 ngày ko bgom t7 cn lễ tính từ ngày tôi gọi ĐMX complain. Tôi rất bức xúc, ĐMX trả lời như vậy ko thấy vô lý ư. Tại sao tính từ ngày tôi complain mà ko phải là ngày mua hàng. Thủ tục chuyển đổi trả góp là trách nhiệm của ĐMX chứ ko phải của KH mà chờ KH gọi mới bắt đầu thực hiện./n', 'Tại sao TV mua mới được 1 tháng 2 ngày đồ mốt bị không nhận dạng dọng nói được . điện lên bảo hành lại bảo sđt không có trong bảo hành á .trong khi đó mua là lấy số đó/n', 'mạng yếu ko cài đặt mấy gói khuyến mãi chuyền hình cho người ta luôn kiên giang/n', 'Remot mới mua về thì sử dụng giọng nói được nhưng 2 bữa nay thi không được nữa và tivi kh thể kết nối trình chiếu vs ĐT được nữa mong ĐMX phản hồi sớm ạ/n']"
Sony Google TV KD-55X77L,14.590.000₫,4.4,25,"['tv này nếu mình muốn nghe nhạc qua loa nhưng k mở tv được k ạ hỗ trợ giúp mình/n', 'Rất tốt/n', 'Rất tốt chưa thấy có một vấn đề gì/n', 'Tóm tắt ok/n', 'Sản phẩm có hình ảnh sắc nét , âm thanh tốt sống động, nhân viên nhiệt tình và thân thiện. Mình sẽ luôn ủng hộ điện máy xanh ./n', 'âm thanh to. rõ hình ảnh nét/n', 'Tivi dùng rất tốt/n', 'Màu tươi âm thanh ấm ổn áp lắm/n', 'Lần đầu tiên mua tivi Sony rất tuyệt vời chất hình ảnh rất sắc nét âm thanh với công nghệ âm thanh vòm xem phim rất hay so với hãng khác chênh vài triệu tùy vào model nhưng đổi lại là chất lượng tuyệt vời./n', 'ok/n', 'Sản phẩm tốt/n', 'sản phẩm chất lượng tốt riêng về khoản khuyến mãi thì để cho có rườm rà và không thực hiện được. thất vọng/n', 'Rất tốt/n', 'Ok/n', '/n', '/n', '/n', '/n', '/n', '/n']"
LG Smart TV 55UQ7550PSF,11.590.000₫,4.3,108,"['Ok/n', 'Tôi vừa nhận ti vi hôm qua. Nhưng sao màu tivi nó đậm lòe loè k được sắc nét . Bỏ ra số tiền cũng k nhỏ lắm mà k đc ưng ý lắm. Có đc đổi lại k/n', 'Rất tốt/n', 'Tốt/n', 'Tốt/n', 'Cảm thấy ok/n', 'OK/n', 'Tại sao mua ngoài tiệm 11tr8 mà trêb này giá lại khác ạ/n', 'Nhân viên tư vấn không rõ ràng . Tôi mua giá 11 triệu 8 . Trong khi giá ở đây chỉ có 10 triệu 2 . Mới mua ngày 11 tháng 12 năm 2023 ./n', 'Sản phẩm dùng rất tốt, chuột rấ nhạy/n', 'Loa to hình ảnh sắc nét ./n', 'Khoảng cách giữa Panl giữ màn và màn hình quá rộng. Màn lỏng lẻo. Thua xa so với các hãng khác cùng giá tiền.muốn đổi sang hãng khác./n', 'Vừa ý/n', 'Sp chất lượng/n', 'Dịch vụ rất tốt, giao hàng nhanh/n', 'quá tốt/n', 'Tivi LG mẫu mã đẹp.xài bền lắm mọi người/n', 'Hài lòng nhân viên, sản phẩm ok, đẹp/n', 'Hình ảnh rõ nét, âm thanh ổn ,bạn tvv nhiệt tình.nói cũng là rất hài lòng/n', 'Tuyệt vời/n']"
Sony Google TV KD-55X80K,14.990.000₫,4.4,243,"['Cũng ổn, màn hình không được sáng cho lắm/n', 'TV Sony google TV kd55x80k rất tốt ạ dễ sử dụng/n', 'Mới mua đã lỗi ko kết nối bluetooth đc rồi . Gọi từ hôm thứ sáu , hẹn qua thứ bảy rồi thứ bảy hẹn qua tới thứ 2 trong khi cái tivi khác nữa giá tiền mà kết nối vô liền , này mới mua đã bị lỗi/n', 'Xem rất ok/n', 'Mua về dùng mượt, hình ảnh rõ nét, nhưng điều khiển bằng giọng nói rảnh tay không dùng được/n', 'Good/n', 'Mới dùng dk 10 ngày thấy dùng mượt mà trơn tru còn về sau thì pải dùng mới biết dk thêm/n', 'Tivi mình mới mua sao tính năng ok google khi được khi không, với tìm kiếm kênh tivi bằng giọng nói k được vậy ạ/n', 'Sao e mua có gói k+ mà về k thấy ạ/n', 'Tốt/n', 'Tivi sắc nét, âm thanh hay/n', 'Tại sao tivi không sử dụng được Netflix vậy ạ/n', 'Tốt/n', 'Tốt/n', 'Rất tốt/n', 'Good/n', 'Tốt/n', 'Ok nhân viên nhiệt tình./n', 'Ok/n', 'Đã mua dùng ổn. Nhưng giờ không biết ấn kiểu gì điều khiển giọng nói không được. Mong hỗ trợ kỹ thuật/n']"
Sony Google TV KD-43X75K,9.890.000₫,4.2,297,"['Tốt/n', 'Tại sao nhân viên không trao trả lại chân đế tivi cho chúng tôi, đề nghị trao trả lại chân đế tivi/n', 'Rất ok/n', 'Sản phẩm ok, lên hình đẹp, nhân viên nhiệt tình./n', 'ok/n', 'Hàng Sony thì khỏi chê/n', 'Ưng ý/n', 'Tốt/n', 'Sử dụng chưa dc 1 tháng thì ko còn nghe dc giọng nói, dc đổi tv mới thì chưa dc 2 tháng lại ko nghe dc giọng nói, đã vậy còn ko truyền dc youtube từ đt qua tv/n', 'Không nên mua mua 1 thời gian mất tiếng đt ên điện máy xanh điện máy xanh đẩy qua hãng còn hãng bảo hành như quần què ngta , 3 ngày chưa xuống giải quyết/n', 'Bị này là sao vậy Shop ơi/n', 'Sài cũng tạm được/n', 'Tivi dùng được 1năm thì bị sọc màn hình/n', 'pp/n', 'Chất lượng hình ảnh tạm ổn, chất lượng âm thanh lúc nhỏ, lúc lớn. Mặc dù không điều chỉnh.../n', 'Máy mình mua sử dụng được 22 ngày lỗi không lên hình chỉ có tiếng được 1 phút là die ngưng hoạt động và không thể thao tác gì thêm màn hình đen thui và không có bất kì tín hiệu nào quá thất vọng về dòng này. Máy chết 1.5 ngày trong lúc chờ nv đmx xuống ktra thì mình mới mở thử xem nó thế nào thì nó lại tái sinh nhưng phải chờ load rất chậm tivi khi khởi động lại cũng đen thui và phải load một lúc rồi mới truy cập được.Có thể nó sẽ tiếp tục điều bất cứ lúc nào.Trải nghiệm quá kinh khủng. Lỗi này không thể chấp nhận. Dòng này nếu có đổi mới chắc cũng không ổn không bền. DMX mình đgia cao chất lượng dịch vụ chăm sóc khách hàng. Về chất lượng sản phẩm trong nhưng năm gần đây thì nên xem lại./n', 'Ok/n', 'Mình mua sản phẩm dùng được 2 ngày thì thấy sản phẩm có một số lỗi nghiêm trọng như sau1. Bốn góc màn hình đều có khoảng hở tầm 35mm chứ không dính liền như các dòng khác. Hãng đã cho người xuống kiểm tra và xác nhận dòng này được thiết kế như vậy và không xử lý. Theo quan điểm người dùng thì điểm này khó chấp nhận được nếu vô tình rơi nước vào màn hình sẽ rất dễ lọt vào trong màn hình đẫn tới hỏng hóc các mạch điện tử bên trong. Nhà nào có con nhỏ hoặc để TV thấp không nên mua dòng này. Mình không chắc là các dòng khác có bị vấn đề này không.2. TV tắt đi mở lại thỉnh thoảng sẽ bị vấn đề không vào wifi được mà cần chờ một lúc mới vô được.3. Vô các app rất chậm đặc biệt khi chuyển sang chế độ người dùng khácCác bạn khi mua nên lưu ý điểm số 1 nhé. Khi mình đi xem TV để trên cao nên mình chỉ đánh giá được màu sắc và âm thanh ổn sơ sót phần kiểm tra phần màn hình vì mình tin tưởng hãng tuy nhiên kết quả đôi chút thất vọng.DMX hỗ trợ nhiệt tình khi có vấn đề./n', 'OK.cảm nhận riêng tôi./n', 'Tốt/n']"
AQUA Android TV AQT43D67FG,4.990.000₫,3.9,9,"['Hàng rẻ nên chip xử lý tốc độ quá cùi. Màn hình đẹp, màu sắc rực rỡ nhưng phải vào cài đặt tinh chỉnh thêm. Loa nghe ổn. Do biết trước chip cùi nên cũng đã sắm Android Box xịn cắm vào TV xài cho mượt. Ngoài tính năng xem màn hình TV thì các tính năng android sẵn trên tv xài dỡ do chậm, đôi khi văng app ra do lag giật/n', 'Sp phản ứng chậm khi chuyển kênh, tăng giảm âm lượng Remote không nhạy, bấm quay vòng vòng 1 phút sau mới nhận. Đúng là hàng VN chất lượng Hồ Cẩm Đào/n', 'Giá rẻ. Loa hay. Màu sắc tốt./n', 'Cơ bản ổn chưa thấy bị gì/n', 'Tivi mua bị lỗi, nhưng không được sửa hay đổi mới, luôn luôn yêu cầu khách hàng thông cảm và chờ đợi. Mới mua 1 ngày đã bị lỗi KHÔNG KẾT NỐI ĐƯỢC TRUYỀN HÌNH CAP NHƯNG NHÂN VIÊN KỸ THUẬT CỦA HÃNG AQUA VẪN NÓI ĐÂY KHÔNG PHẢI LÀ LỖI. KHUYEN CÁO MỌI NGƯỜI TUYỆT ĐỐI KHÔNG NÊN MUA VỚI GIÁ TIỀN TRÊN 5 TRIỆU NÊN MUA TIVI CỦA NHỮNG THƯƠNG HIỆU ĐƯỢC CÔNG NHÂN/n', 'sử dụng OK hợp túi tiền/n', '/n', '/n', '/n']"
Xiaomi Google TV A L32M8-P2SEA,3.990.000₫,4.4,51,"['Xài được 2 tuần, cảm nhận tốt trong tầm giá/n', 'hàng chất lượng với tầm giá phù hợp để ko gian nhỏ như phòng ngủ, nhà trọ. chế độ góp linh hoạt dễ dàng sở hữu/n', 'Tivi lỗi nguồn gọi 2 lần chưa được xử lý thoả đáng. Mua cho người lớn rất khó sử dụng/n', 'Màn hình đẹp chức năng ok có cái mới mở lên loa bị rè chỉ xài bluetooth/n', 'Dùng tốt,/n', 'Tạm ổn, khởi động chậm/n', 'Tivi sắc nét , âm thanh to rõ , mình luôn tin tưởng và mua các sản phẩm ở điện máy xanh/n', 'Xài ok/n', 'Tốt/n', 'Ok/n', 'Tốt ạ/n', 'Good/n', 'Tivi dùng tốt, hình ảnh nét, âm thanh trung thực/n', 'Tivi am thanh to, hình ảnh sắc nét/n', 'Rất tốt/n', 'Chức năng thì ok nhưng có điều bên bộ phận bảo hành, tôi mua tivi về đc 2 ngày thấy lỗi màn hình có điểm sáng, tôi đã liên hệ với bên ĐMX chờ 2 3 ngày có người xuống kiểm tra xong nói, này phải đợi hãng Xiaomi xuống xác nhận, hãng xuống kiểm tra xong rồi chưa cóa kết luận phải chờ đợi tiếp tới nay hơn 1 tuần rồi mà chưa giải quyết xong chi tôi, tôi mua ngày 16/03/2024, rồi trách nhiệm sẽ thuộc về ai Khi đùng đẩy kéo dài thời gian của khách hàng Rồi bên nào sẽ giải quyết đc cho tôi về cái tivi bị lỗi/n', 'Vùa mua 2 cái đợi giảm giá nhu cũ mua them 3 cái/n', 'Màu sắc đẹp. Có kết nói giọng nói. Và điều khiển trên đt cũng được. hợp túi tiền với những người lao động như mình/n', 'Mua chưa đc 1 tháng lỗi 2 lần, lần 1lỗi vọng nói, lần 2 điều khiển remote không đc phải rút nguồn rồi cấm lại. Mua chưa đc 1 tháng lỗi đổi không đc rồi nói phải đạt điều kiện này nọ. Mua đồ về để đc trải nghiệm bảo hành kaka hàng dỏm/n', 'Đẹp gọn nhẹ phù hợp không gian nhỏ/n']"
LG Smart TV 43UQ7550PSF,8.990.000₫,4.5,219,"['Hiện tại thì tốt, còn sau thì theo dõi thêm/n', 'Hiện tại thì ổn, còn bền thì phải sd mới đánh giá được tiếp/n', 'rat tot/n', 'Đã dùng lần thứ n. Hàng chất lượng. Nhân viên phục vụ tốt./n', 'TiVi của mk ko thể tải thoả thuận người dùng.giờ ko vào dc cái ji dù vẫn kết nối mạng bình thường.mong dc hổ trợ/n', 'Rất rất ok tôi hài lòng/n', 'Hiện tại thì tivi đang hoạt động rất tốt/n', 'Sản phẩm dùng rất tốt/n', 'ok/n', 'Sản phẩm tốt/n', 'Tốt/n', 'Ti vi hình ảnh rõ đẹp âm thanh nghe hay mn nên mua nhé/n', 'Mới dùng 3 tuần rất chi là ok/n', 'Tivi dùng tốt/n', 'Sai rất tốt và rất ưng ý/n', 'Cảm nhận ban đầu rất tuyệt vời nha, chờ xem độ bền theo thời gian thế nào./n', 'Giao hàng nhanh tư vấn nhiệt tình/n', 'Giờ em không muốn xem tv qua internet nữaEm mua đầu thu với ăng ten về thì có xem được tv không ạ/n', 'Ko có chân căm dây âm thanh kết nối với âm ly ạ/n', 'Giờ mới để ý, sản phẩm nhận được viền màn hình dày hơn rất nhiều với ảnh quảng cáo./n']"
Sony Google TV KD-32W830K,7.490.000₫,No rating available,92,[]
